build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857260_1,3857260,2022-11-30,Saudi Arabia vs Mexico,Mexico,Henry Josué Martín Mex,46,52,2,112,From Corner,2,2,120.0,0.1,116.7,40.2
3857260_2,3857260,2022-11-30,Saudi Arabia vs Mexico,Mexico,Luis Gerardo Chávez Magallón,51,56,2,120,From Free Kick,0,0,86.7,41.3,86.7,41.3
3857260_3,3857260,2022-11-30,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,40,2,199,Regular Play,6,13,64.4,46.5,110.9,45.2
3857264_1,3857264,2022-11-30,Poland vs Argentina,Argentina,Alexis Mac Allister,45,53,2,81,From Kick Off,17,53,60.0,40.0,106.0,46.7
3857264_2,3857264,2022-11-30,Poland vs Argentina,Argentina,Julián Álvarez,66,57,2,107,From Free Kick,27,67,70.9,4.6,106.0,33.5
3857266_1,3857266,2022-11-26,France vs Denmark,France,Kylian Mbappé Lottin,60,25,2,106,Regular Play,5,16,19.6,73.1,110.8,31.3
3857266_2,3857266,2022-11-26,France vs Denmark,Denmark,Andreas Christensen,67,15,2,119,From Corner,1,2,120.0,80.0,113.0,37.6
3857266_3,3857266,2022-11-26,France vs Denmark,France,Kylian Mbappé Lottin,85,9,2,144,From Goal Kick,9,35,7.0,44.1,117.8,36.5
3857289_1,3857289,2022-11-26,Argentina vs Mexico,Argentina,Lionel Andrés Messi Cuccittini,63,32,2,105,From Goal Kick,7,24,7.0,36.1,94.9,37.4
3857289_2,3857289,2022-11-26,Argentina vs Mexico,Argentina,Enzo Fernandez,86,39,2,144,From Corner,2,5,120.0,0.1,106.5,22.8
3857269_1,3857269,2022-11-28,Brazil vs Switzerland,Brazil,Carlos Henrique Casimiro,82,15,2,146,Regular Play,9,29,26.3,8.5,106.3,29.4
3857294_1,3857294,2022-11-29,Netherlands vs Qatar,Netherlands,Cody Mathès Gakpo,25,55,1,60,From Goal Kick,6,15,6.0,36.0,103.3,39.8
3857294_2,3857294,2022-11-29,Netherlands vs Qatar,Netherlands,Frenkie de Jong,48,55,2,148,From Goal Kick,14,59,7.0,44.1,117.6,40.3
3869254_1,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,16,43,1,33,From Throw In,2,5,100.4,0.1,111.3,27.5
3869254_2,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Kléper Laveran Lima Ferreira,32,35,1,58,From Corner,1,2,120.0,80.0,114.3,40.0
3869254_3,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,50,5,2,91,Regular Play,3,23,47.4,43.3,115.8,44.4
3869254_4,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Raphaël Adelino José Guerreiro,54,55,2,96,From Free Kick,7,16,25.8,14.4,110.9,32.4
3869254_5,3869254,2022-12-06,Portugal vs Switzerland,Switzerland,Manuel Obafemi Akanji,57,5,2,98,From Corner,0,2,120.0,80.0,118.7,35.4
3869254_6,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,66,12,2,115,From Goal Kick,3,15,6.0,36.0,112.6,45.8
3869254_7,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Rafael Alexandre Conceição Leão,91,12,2,157,From Free Kick,18,52,7.3,33.0,105.0,21.7
3869118_1,3869118,2022-12-04,England vs Senegal,England,Jordan Brian Henderson,38,0,1,60,From Goal Kick,7,15,6.0,36.0,107.6,38.0
3869118_2,3869118,2022-12-04,England vs Senegal,England,Harry Kane,47,17,1,73,Regular Play,2,5,63.5,44.1,104.3,50.7
3869118_3,3869118,2022-12-04,England vs Senegal,England,Bukayo Saka,56,43,2,96,Regular Play,4,11,43.9,28.2,111.0,35.9
3869684_1,3869684,2022-12-17,Croatia vs Morocco,Croatia,Joško Gvardiol,6,28,1,11,From Free Kick,2,2,84.6,21.0,108.8,38.0
3869684_2,3869684,2022-12-17,Croatia vs Morocco,Morocco,Achraf Dari,8,17,1,13,From Free Kick,0,3,87.7,74.4,115.6,39.0
3869684_3,3869684,2022-12-17,Croatia vs Morocco,Croatia,Mislav Oršić,41,43,1,71,Regular Play,16,46,10.8,51.9,106.5,21.3
